SN,Author,Abstract,Model,Model_detail,Purpose,Specialty,Use,n,Age,Female,AUC,Accuracy,Recall,Specificity,Precision,Sensitivity,PPV,NPV,F1-Score,Validation,Interpretable,Bias,Applicable,Country,Setting,n_normalized,Age_normalized,CV_Clean,Study Design,DOI,Paywall
1,"Qian, 2023","Background: The aim of this study was to evaluate the effect of a model combining a 18F-fluorodeoxyglucose positron emission tomography/computed tomography (<sup>18</sup>F-FDG PET/CT)-based radiomics signature with clinical factors in the preoperative prediction of the International Neuroblastoma Pathology Classification (INPC) type of pediatric peripheral neuroblastic tumor (pNT). Method(s): A total of 106 consecutive pediatric pNT patients confirmed by pathology were retrospectively analyzed. Significant features determined by multivariate logistic regression were retained to establish a clinical model (C-model), which included clinical parameters and PET/CT radiographic features. A radiomics model (R-model) was constructed on the basis of PET and CT images. A semiautomatic method was used for segmenting regions of interest. A total of 1,016 radiomics features were extracted. Univariate analysis and the least absolute shrinkage selection operator were then used to select significant features. The C-model was combined with the R-model to establish a combination model (RC-model). The predictive performance was validated by receiver operating characteristic (ROC) curve analysis, calibration curves, and decision curve analysis (DCA) in both the training cohort and validation cohort. Result(s): The radiomics signature was constructed using 5 selected radiomics features. The RC-model, which was based on the 5 radiomics features and 3 clinical factors, showed better predictive performance compared with the C-model alone [area under the curve in the validation cohort: 0.908 vs. 0.803; accuracy: 0.903 vs. 0.710; sensitivity: 0.895 vs. 0.789; specificity: 0.917 vs. 0.583; net reclassification improvement (NRI) 0.439, 95% confidence interval (CI): 0.1047-0.773; P=0.01]. The calibration curve showed that the RC-model had goodness of fit, and DCA confirmed its clinical utility. Conclusion(s): In this preliminary single-center retrospective study, an R-model based on <sup>18</sup>F-FDG PET/CT was shown to be promising in predicting INPC type in pediatric pNT, allowing for the noninvasive prediction of INPC and assisting in therapeutic strategies. Copyright © Quantitative Imaging in Medicine and Surgery. All rights reserved.",Regression,Regression,Diagnosis,General Surgery,Neuroblastoma (CT),75,3.5,0.28,0.908,0.903,0.895,0.917,0.8955,0.895,0.944,0.846,0.86747,Internal,No,Unclear,Yes,China,Hospital,-0.217300801,-0.413207631,Radiology,Retrospective review,https://dx.doi.org/10.21037/qims-22-343,
2,"Pepi, 2023","Objectives: Hemispherotomy (HT) is a surgical option for treatment of drug-resistant seizures due to hemispheric structural lesions. Factors affecting seizure outcome have not been fully clarified. In our study, we used a brain Machine Learning (ML) approach to evaluate the possible role of Inter-hemispheric EEG Connectivity (IC) in predicting post-surgical seizure outcome. Methods: We collected 21 pediatric patients with drug-resistant epilepsy; who underwent HT in our center from 2009 to 2020; with a follow-up of at least two years. We selected 5-s windows of wakefulness and sleep pre-surgical EEG and we trained Artificial Neuronal Network (ANN) to estimate epilepsy outcome. We extracted EEG features as input data and selected the ANN with best accuracy. Results: Among 21 patients, 15 (71%) were seizure and drug-free at last follow-up. ANN showed 73.3% of accuracy, with 85% of seizure free and 40% of non-seizure free patients appropriately classified. Conclusions: The accuracy level that we reached supports the hypothesis that pre-surgical EEG features may have the potential to predict epilepsy outcome after HT. Significance: The role of pre-surgical EEG data in influencing seizure outcome after HT is still debated. We proposed a computational predictive model, with an ML approach, with a high accuracy level.",Neural network,NN,Surgical Outcome Prediction,Neurosurgery,Epilepsy resolution,21,7,0.593461503,0.7579,0.733,0.4,0.4,0.62343,0.4,0.812,0.7903,0.6103,Internal,No,Low,Yes,Italy,Hospital,-0.218934936,0.118692511,0,Retrospective review,https://doi.org/10.3390/brainsci13010071,
3,"Luo, 2023","BACKGROUND: Cardiac surgery-associated acute kidney injury (CSA-AKI) is a major complication following pediatric cardiac surgery, which is associated with increased morbidity and mortality. The early prediction of CSA-AKI before and immediately after surgery could significantly improve the implementation of preventive and therapeutic strategies during the perioperative periods. However, there is limited clinical information on how to identify pediatric patients at high risk of CSA-AKI. OBJECTIVE: The study aims to develop and validate machine learning models to predict the development of CSA-AKI in the pediatric population. METHODS: This retrospective cohort study enrolled patients aged 1 month to 18 years who underwent cardiac surgery with cardiopulmonary bypass at 3 medical centers of Central South University in China. CSA-AKI was defined according to the 2012 Kidney Disease: Improving Global Outcomes criteria. Feature selection was applied separately to 2 data sets: the preoperative data set and the combined preoperative and intraoperative data set. Multiple machine learning algorithms were tested, including K-nearest neighbor, naive Bayes, support vector machines, random forest, extreme gradient boosting (XGBoost), and neural networks. The best performing model was identified in cross-validation by using the area under the receiver operating characteristic curve (AUROC). Model interpretations were generated using the Shapley additive explanations (SHAP) method. RESULTS: A total of 3278 patients from one of the centers were used for model derivation, while 585 patients from another 2 centers served as the external validation cohort. CSA-AKI occurred in 564 (17.2%) patients in the derivation cohort and 51 (8.7%) patients in the external validation cohort. Among the considered machine learning models, the XGBoost models achieved the best predictive performance in cross-validation. The AUROC of the XGBoost model using only the preoperative variables was 0.890 (95% CI 0.876-0.906) in the derivation cohort and 0.857 (95% CI 0.800-0.903) in the external validation cohort. When the intraoperative variables were included, the AUROC increased to 0.912 (95% CI 0.899-0.924) and 0.889 (95% CI 0.844-0.920) in the 2 cohorts, respectively. The SHAP method revealed that baseline serum creatinine level, perfusion time, body length, operation time, and intraoperative blood loss were the top 5 predictors of CSA-AKI. CONCLUSIONS: The interpretable XGBoost models provide practical tools for the early prediction of CSA-AKI, which are valuable for risk stratification and perioperative management of pediatric patients undergoing cardiac surgery.",Ensemble learner,Extreme Gradient Boosting,Adverse Event Prediction,Cardiac Surgery,Acute kidney injury,3863,12.999,0.479,0.889,0.9209,0.804,0.805,0.53102,0.804,0.283,0.977,0.6534,External,Yes,Low,Yes,China,Multicenter,-0.102669272,1.030369355,0,Prospective,https://dx.doi.org/10.2196/41142,
4,"Bakhuis, 2023","OBJECTIVES: When surgical resection is indicated for a congenital lung abnormality, lobectomy is often preferred over segmentectomy, mostly because the latter is associated with more residual disease. Presumably, this occurs in children because sublobar surgery often does not adhere to anatomical borders (wedge resection instead of segmentectomy), thus increasing the risk of residual disease. This study investigated the feasibility of identifying eligible cases for anatomical segmentectomy by combining virtual reality and artificial intelligence. METHODS: Semi-automated segmentation of bronchovascular structures and lesions were visualized with virtual reality and artificial intelligence technology. Two specialists independently evaluated via a questionnaire the informative value of regular computed tomography versus three-dimensional-virtual reality images. RESULTS: Five asymptomatic, non-operated cases were selected. Bronchovascular segmentation, volume calculation, and image visualization in the VR environment was successful in all cases. Based on the computed tomography images, assignment of the congenital lung abnormality lesion to specific lung segments matched between the consulted specialists in only one out of the cases. Based on the three three-dimensional-virtual reality images, however, the localization matched in three of the five cases. If the patients would have been operated, adding the three-dimensional-virtual reality tool to the pre-operative workup would have resulted in changing the surgical strategy (i.e., lobectomy versus segmentectomy) in four cases. CONCLUSIONS: This study demonstrated the technical feasibility of a hybridized artificial intelligence -virtual reality visualization of segment-level lung anatomy in patients with congenital lung abnormalities. Further exploration of the value of three-dimensional-virtual reality in identifying eligible cases for anatomical segmentectomy is therefore warranted.",Neural network,CNN,Diagnosis,General Surgery,Congenital lung lesions,5,7.9835,0.42667,,0.89751,0.84136,0.9242,0.91121,0.8565,0.9054,0.96937,0.86767,None,No,High,Yes,Netherlands,Hospital,-0.219419124,0.268156451,Radiology,Retrospective review,https://dx.doi.org/10.1093/ejcts/ezad014,
5,"Abousetta, 2023: Language age deficit","Objective: Cochlear implant (CI) candidate selection is a lengthy, complicated process that entails subjective judgment on the interaction of multiple pre-operative variables. It is assumed that setting a scoring system for the process of CI candidate selection would help in precise and reliable decision making. This would also provide a tool that would help in providing a better quality of life for CI patients. Method(s): Retrospective cohort study was held out in three post-CI rehabilitation centers. A total of 100 children records were analyzed with two statistical methods; conventional and Artificial Intelligence (AI) using Machine Learning. Language age deficit, phonological deficit, and social deficit were invented as new measures of CI performance; used to represent the developmental delay of those children in a single numeric value (in months). Result(s): Artificial Intelligence analysis surpassed conventional statistical methods for the prediction of the outcome measures of post-CI performance. This was clearly expressed using linear regression models. The AI classification model validation for predictive accuracy of language age deficit, phonological deficit, and social deficit were 56.66%, 88.11%, and 40.46% respectively. Conclusion(s): The production of a preliminary CI scoring model used for prediction of performance of patients was achieved. More data should be collected and fed to the software in order to improve its performance. Copyright © 2023 International Association of Physicians in Audiology.",KNN,AdaBoost,Decision Support,OHNS,Patient selection: cochlear implant,100,6.523333333,0.4,,0.566,0.568,0.8491,0.699,0.5528,0.7721,0.82729,0.566,Internal,Yes,High,Yes,Egypt,Hospital,-0.216544257,0.046252778,0,Retrospective review,https://dx.doi.org/10.1080/21695717.2023.2165371,
5,"Abousetta, 2023: Phonological deficit","Objective: Cochlear implant (CI) candidate selection is a lengthy, complicated process that entails subjective judgment on the interaction of multiple pre-operative variables. It is assumed that setting a scoring system for the process of CI candidate selection would help in precise and reliable decision making. This would also provide a tool that would help in providing a better quality of life for CI patients. Method(s): Retrospective cohort study was held out in three post-CI rehabilitation centers. A total of 100 children records were analyzed with two statistical methods; conventional and Artificial Intelligence (AI) using Machine Learning. Language age deficit, phonological deficit, and social deficit were invented as new measures of CI performance; used to represent the developmental delay of those children in a single numeric value (in months). Result(s): Artificial Intelligence analysis surpassed conventional statistical methods for the prediction of the outcome measures of post-CI performance. This was clearly expressed using linear regression models. The AI classification model validation for predictive accuracy of language age deficit, phonological deficit, and social deficit were 56.66%, 88.11%, and 40.46% respectively. Conclusion(s): The production of a preliminary CI scoring model used for prediction of performance of patients was achieved. More data should be collected and fed to the software in order to improve its performance. Copyright © 2023 International Association of Physicians in Audiology.",KNN,IBK,Decision Support,OHNS,Patient selection: cochlear implant,100,6.523333333,0.4,,0.566,0.881,0.892,0.916,0.8793,0.9192,0.83959,0.885,Internal,Yes,High,Yes,Egypt,Hospital,-0.216544257,0.046252778,0,Retrospective review,https://dx.doi.org/10.1080/21695717.2023.2165371,
5,"Abousetta, 2023: Social deficit","Objective: Cochlear implant (CI) candidate selection is a lengthy, complicated process that entails subjective judgment on the interaction of multiple pre-operative variables. It is assumed that setting a scoring system for the process of CI candidate selection would help in precise and reliable decision making. This would also provide a tool that would help in providing a better quality of life for CI patients. Method(s): Retrospective cohort study was held out in three post-CI rehabilitation centers. A total of 100 children records were analyzed with two statistical methods; conventional and Artificial Intelligence (AI) using Machine Learning. Language age deficit, phonological deficit, and social deficit were invented as new measures of CI performance; used to represent the developmental delay of those children in a single numeric value (in months). Result(s): Artificial Intelligence analysis surpassed conventional statistical methods for the prediction of the outcome measures of post-CI performance. This was clearly expressed using linear regression models. The AI classification model validation for predictive accuracy of language age deficit, phonological deficit, and social deficit were 56.66%, 88.11%, and 40.46% respectively. Conclusion(s): The production of a preliminary CI scoring model used for prediction of performance of patients was achieved. More data should be collected and fed to the software in order to improve its performance. Copyright © 2023 International Association of Physicians in Audiology.",KNN,Logistic regression,Decision Support,OHNS,Patient selection: cochlear implant,100,6.523333333,0.4,,0.566,0.405,0.8156,0.351,0.3287,0.7801,0.82729,0.37,Internal,Yes,High,Yes,Egypt,Hospital,-0.216544257,0.046252778,0,Retrospective review,https://dx.doi.org/10.1080/21695717.2023.2165371,
6,"Zhang, 2022: Retinoblastoma","Retinoblastoma is the most common intraocular malignancy in childhood. With the advanced management strategy, the global salvage and overall survival have significantly improved, which proposes subsequent challenges regarding long-term surveillance and offspring screening. Here, we developed deep learning algorithm, called Deep Learning Assistant for Retinoblastoma (DLA-RB) training on A total of 36623 images from 713 patients. We validated it in the prospectively collected dataset, comprised of 1366 images form 139 eyes of 103 patients. In identifying active retinoblastoma tumors (treatment required) from all clinical-suspected patients, the area under the receiver operating characteristic curve (AUC) of DLA-RB reached 0.991 (95% CI 0.970-1.000). In identifying active retinoblastoma from stable retinoblastoma patients (treatment is not required), AUC of DLA-RB reached 0.962 (95% CI 0.915-1.000), respectively. Cost-utility analysis revealed that DLA-RB based diagnosis mode is more cost-effective in both retinoblastoma diagnosis and retinoblastoma activity surveillance. The DLA-RB achieved high accuracy and sensitivity in identifying active retinoblastoma from the normal and stable retinoblastoma fundus. It can be incorporated within telemedicine programs in the future. Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-ND 4.0 International license.",Neural network,CNN,Diagnosis,General Surgery,Retinoblastoma (fundoscopy),713,2.063497032,0.308680619,0.991,0.9031,0.979,1,0.88508,0.979,0.97979,0.8652,0.92844,Internal,Yes,Unclear,Yes,China,Hospital,-0.197993801,-0.631515097,Ophthalmology,Retrospective review,https://dx.doi.org/10.1101/2022.08.23.22279103,
7,"Zhang, 2022: Mucoepidermoid tumors","INTRODUCTION: Medulloblastoma (MB), pilocytic astrocytoma (PA), and ependymoma (EP) compose the majority of posterior fossa (PF) pediatric tumors and share similar features on MRI. Pre-operative anticipation of pathology can inform the surgical approach, extent of resection, and potential complications. METHOD(S): We extracted 1800 Image features from T2- and gadolinium-enhanced T1-weighted images in a multinational cohort of 274 MB, 156 PA, and 97 EP. We designed a two-step classifier-first ruling out PA with a three-way classifier, and next distinguishing MB from EP with a binary classifier. For each step, we selected the best performing classifier model from six candidates following LASSO-feature reduction. Final multi-class classifier performance was measured on a holdout test set with the micro-averaged F1-score. RESULT(S): Optimal diagnostic performance was achieved using two decision steps, each with their respective feature set and classifier method. An initial three-way (MB, PA, and EP) logistic regression classifier exhibited a micro-averaged F1-score of 0.739. From a reduced feature set of 61 features, T2-Uniformity and T1-Contrast were the most relevant for distinguishing PA. A subsequent two-way neural net classifier distinguished MB from EP with F1-score 0.9189. In the second reduced feature set of 39 features, T2-Sphericity and T1-Flatness were most relevant. Performing the two classifiers sequentially for MB, PA, and EP classification produced a micro-averaged F1-score of 0.9179. CONCLUSION(S): A sequential radiomic improved upon a single-step radiographic classifier for pediatric PF tumors. Strong overlap between MB and EP prevented a single-step classifier from distinguishing all three pathologies at once. PA-relevant features aligned with avid gadoliniumenhancement and non-enhancing cystic components. MB and EP-related features correlated to how each conform within and extrude from the fourth ventricle, respectively.",SVM,SVM,Diagnosis,General Surgery,Mucoepidermoid tumors,16,9.3,0.375,1,0.95141,0.9285,0.83353,0.91616,0.93235,0.91799,0.97496,1,None,No,High,Yes,China,Hospital,-0.219086245,0.468226891,0,Retrospective review,https://dx.doi.org/10.1007/s11596-022-2595-3,Paywall
8,"Zeng, 2022","OBJECTIVE: Acute kidney injury (AKI) is a common complication after pediatric cardiac surgery, and the early detection of AKI may allow for timely preventive or therapeutic measures. However, current AKI prediction researches pay less attention to time information among time-series clinical data and model building strategies that meet complex clinical application scenario. This study aims to develop and validate a model for predicting postoperative AKI that operates sequentially over individual time-series clinical data. MATERIALS AND METHODS: A retrospective cohort of 3386 pediatric patients extracted from PIC database was used for training, calibrating, and testing purposes. A time-aware deep learning model was developed and evaluated from 3 clinical perspectives that use different data collection windows and prediction windows to answer different AKI prediction questions encountered in clinical practice. We compared our model with existing state-of-the-art models from 3 clinical perspectives using the area under the receiver operating characteristic curve (ROC AUC) and the area under the precision-recall curve (PR AUC). RESULTS: Our proposed model significantly outperformed the existing state-of-the-art models with an improved average performance for any AKI prediction from the 3 evaluation perspectives. This model predicted 91% of all AKI episodes using data collected at 24 h after surgery, resulting in a ROC AUC of 0.908 and a PR AUC of 0.898. On average, our model predicted 83% of all AKI episodes that occurred within the different time windows in the 3 evaluation perspectives. The calibration performance of the proposed model was substantially higher than the existing state-of-the-art models. CONCLUSIONS: This study showed that a deep learning model can accurately predict postoperative AKI using perioperative time-series data. It has the potential to be integrated into real-time clinical decision support systems to support postoperative care planning.",Neural network,Time-aware Attention RNN,Adverse Event Prediction,Cardiac Surgery,Acute kidney injury,3386,0.991666667,0.506,0.908,0.814,0.7869,0.81241,0.61392,0.7747,0.6786,0.7206,0.6864,Cross-validation,Yes,High,Yes,China,Hospital,-0.117104129,-0.794402732,0,Retrospective review,https://dx.doi.org/10.1093/jamia/ocac202,Paywall
